# fetched on dec 16 2025 from "https://indexes.nikkei.co.jp/en/nkave/index/component"
ticker,company_name,nikkei_sector,nikkei_subsector
4151.T,"KYOWA KIRIN CO., LTD.",Technology,Pharmaceuticals
4502.T,"TAKEDA PHARMACEUTICAL CO., LTD.",Technology,Pharmaceuticals
4503.T,ASTELLAS PHARMA INC.,Technology,Pharmaceuticals
4506.T,"SUMITOMO PHARMA CO., LTD.",Technology,Pharmaceuticals
4507.T,"SHIONOGI & CO., LTD.",Technology,Pharmaceuticals
4519.T,"CHUGAI PHARMACEUTICAL CO., LTD.",Technology,Pharmaceuticals
4523.T,"EISAI CO., LTD.",Technology,Pharmaceuticals
4568.T,"DAIICHI SANKYO CO., LTD.",Technology,Pharmaceuticals
4578.T,"OTSUKA HOLDINGS CO., LTD.",Technology,Pharmaceuticals
4062.T,"IBIDEN CO., LTD.",Technology,Electric Machinery
6479.T,MINEBEA MITSUMI INC.,Technology,Electric Machinery
6501.T,"HITACHI, LTD.",Technology,Electric Machinery
6503.T,MITSUBISHI ELECTRIC CORP.,Technology,Electric Machinery
6504.T,"FUJI ELECTRIC CO., LTD.",Technology,Electric Machinery
6506.T,YASKAWA ELECTRIC CORP.,Technology,Electric Machinery
6526.T,SOCIONEXT INC.,Technology,Electric Machinery
6645.T,OMRON CORP.,Technology,Electric Machinery
6674.T,GS YUASA CORP.,Technology,Electric Machinery
6701.T,NEC CORP.,Technology,Electric Machinery
6702.T,FUJITSU LTD.,Technology,Electric Machinery
6723.T,RENESAS ELECTRONICS CORP.,Technology,Electric Machinery
6724.T,SEIKO EPSON CORP.,Technology,Electric Machinery
6752.T,PANASONIC HOLDINGS CORP.,Technology,Electric Machinery
6753.T,SHARP CORP.,Technology,Electric Machinery
6758.T,SONY GROUP CORP.,Technology,Electric Machinery
6762.T,TDK CORP.,Technology,Electric Machinery
6770.T,"ALPS ALPINE CO., LTD.",Technology,Electric Machinery
6841.T,YOKOGAWA ELECTRIC CORP.,Technology,Electric Machinery
6857.T,ADVANTEST CORP.,Technology,Electric Machinery
6861.T,KEYENCE CORP.,Technology,Electric Machinery
6902.T,DENSO CORP.,Technology,Electric Machinery
6920.T,LASERTEC CORP.,Technology,Electric Machinery
6952.T,"CASIO COMPUTER CO., LTD.",Technology,Electric Machinery
6954.T,FANUC CORP.,Technology,Electric Machinery
6963.T,"ROHM CO., LTD.",Technology,Electric Machinery
6971.T,KYOCERA CORP.,Technology,Electric Machinery
6976.T,"TAIYO YUDEN CO., LTD.",Technology,Electric Machinery
6981.T,"MURATA MANUFACTURING CO., LTD.",Technology,Electric Machinery
7735.T,"SCREEN HOLDINGS CO., LTD.",Technology,Electric Machinery
7751.T,CANON INC.,Technology,Electric Machinery
7752.T,"RICOH CO., LTD.",Technology,Electric Machinery
8035.T,TOKYO ELECTRON LTD.,Technology,Electric Machinery
7201.T,"NISSAN MOTOR CO., LTD.",Technology,Automobiles & Auto parts
7202.T,ISUZU MOTORS LTD.,Technology,Automobiles & Auto parts
7203.T,TOYOTA MOTOR CORP.,Technology,Automobiles & Auto parts
7205.T,"HINO MOTORS, LTD.",Technology,Automobiles & Auto parts
7211.T,MITSUBISHI MOTORS CORP.,Technology,Automobiles & Auto parts
7261.T,MAZDA MOTOR CORP.,Technology,Automobiles & Auto parts
7267.T,"HONDA MOTOR CO., LTD.",Technology,Automobiles & Auto parts
7269.T,SUZUKI MOTOR CORP.,Technology,Automobiles & Auto parts
7270.T,SUBARU CORP.,Technology,Automobiles & Auto parts
7272.T,"YAMAHA MOTOR CO., LTD.",Technology,Automobiles & Auto parts
4543.T,TERUMO CORP.,Technology,Precision Instruments
4902.T,"KONICA MINOLTA, INC.",Technology,Precision Instruments
6146.T,DISCO CORP.,Technology,Precision Instruments
7731.T,NIKON CORP.,Technology,Precision Instruments
7733.T,OLYMPUS CORP.,Technology,Precision Instruments
7741.T,HOYA CORP.,Technology,Precision Instruments
9432.T,"NTT, INC.",Technology,Communications
9433.T,KDDI CORP.,Technology,Communications
9434.T,SOFTBANK CORP.,Technology,Communications
9984.T,SOFTBANK GROUP CORP.,Technology,Communications
5831.T,"SHIZUOKA FINANCIAL GROUP, INC.",Financials,Banking
7186.T,"YOKOHAMA FINANCIAL GROUP, INC.",Financials,Banking
8304.T,"AOZORA BANK, LTD.",Financials,Banking
8306.T,"MITSUBISHI UFJ FINANCIAL GROUP, INC.",Financials,Banking
8308.T,"RESONA HOLDINGS, INC.",Financials,Banking
8309.T,"SUMITOMO MITSUI TRUST GROUP, INC.",Financials,Banking
8316.T,"SUMITOMO MITSUI FINANCIAL GROUP, INC.",Financials,Banking
8331.T,"THE CHIBA BANK, LTD.",Financials,Banking
8354.T,"FUKUOKA FINANCIAL GROUP, INC.",Financials,Banking
8411.T,"MIZUHO FINANCIAL GROUP, INC.",Financials,Banking
8253.T,"CREDIT SAISON CO., LTD.",Financials,Other Financial Services
8591.T,ORIX CORP.,Financials,Other Financial Services
8697.T,"JAPAN EXCHANGE GROUP, INC.",Financials,Other Financial Services
8601.T,DAIWA SECURITIES GROUP INC.,Financials,Securities
8604.T,"NOMURA HOLDINGS, INC.",Financials,Securities
8630.T,"SOMPO HOLDINGS, INC.",Financials,Insurance
8725.T,"MS&AD INSURANCE GROUP HOLDINGS, INC.",Financials,Insurance
8750.T,"DAI-ICHI LIFE HOLDINGS, INC.",Financials,Insurance
8766.T,"TOKIO MARINE HOLDINGS, INC.",Financials,Insurance
8795.T,"T&D HOLDINGS, INC.",Financials,Insurance
1332.T,NISSUI CORP.,Consumer Goods,Fishery
2002.T,NISSHIN SEIFUN GROUP INC.,Consumer Goods,Foods
2269.T,"MEIJI HOLDINGS CO., LTD.",Consumer Goods,Foods
2282.T,NH FOODS LTD.,Consumer Goods,Foods
2501.T,SAPPORO HOLDINGS LTD.,Consumer Goods,Foods
2502.T,"ASAHI GROUP HOLDINGS, LTD.",Consumer Goods,Foods
2503.T,"KIRIN HOLDINGS CO., LTD.",Consumer Goods,Foods
2801.T,KIKKOMAN CORP.,Consumer Goods,Foods
2802.T,"AJINOMOTO CO., INC.",Consumer Goods,Foods
2871.T,NICHIREI CORP.,Consumer Goods,Foods
2914.T,JAPAN TOBACCO INC.,Consumer Goods,Foods
3086.T,"J.FRONT RETAILING CO., LTD.",Consumer Goods,Retail
3092.T,"ZOZO, INC.",Consumer Goods,Retail
3099.T,ISETAN MITSUKOSHI HOLDINGS LTD.,Consumer Goods,Retail
3382.T,"SEVEN & I HOLDINGS CO., LTD.",Consumer Goods,Retail
7453.T,"RYOHIN KEIKAKU CO., LTD.",Consumer Goods,Retail
